Code,Country,Title Of Document Or Source,English Translation Of Title (When Applicable),Source Type,Type Of Document Or Source,Link To Document Or Source,Date Of Publication,Language,Date Entered,Brief Explanation And Notes
MAL01,Malta,MALTA – COVID-19 VACCINATION,-,Vaccine Registration Website,Registration Website,https://web.archive.org/web/20210410084621/https://vaccin.gov.mt/,-,"English, Maltese",6/10/2021,Malta official registration website for COVID-19 vaccination
MAL03,Malta,Vaccines - health.gov.mt (FAQs),-,Official Vaccine Policy,Official National Document,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/vaccines.aspx,22/04/2021,English,24 Jun 2021,Information on priority groups. States that all Maltese citizens and all residents of Malta with a valid residency card are eligible for the vaccine.
MAL04,Malta,Covid-19 Vaccine Frequently Asked Questions For Healthcare Professionals,-,Official Vaccine Policy,Official National Document,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Documents/Covid-19%20Vaccine%20FAQs%20Healthcare%20workers.pdf,06/05/2021 - last updated,English,24 Jun 2021,Similar information to above.
MAL05,Malta,Watch: Detained migrants and open centres residents to receive vaccine according to age,-,Official Vaccine Policy,Media,https://newsbook.com.mt/en/watch-detained-migrants-and-open-centres-residents-to-receive-vaccine-according-to-age/,12/03/2021,"Video In Maltese, Article In English",24 Jun 2021,"Says Superintendent of Public Health said undocumented migrants are not entitled to vaccinations, individuals in detention centres would be vaccinated based on age."
MAL06,Malta,COVID-19 vaccination to be open for public in coming weeks,-,Official Vaccine Policy,Media,https://www.maltatoday.com.mt/news/national/109540/covid19_vaccination_to_be_open_for_public_in_coming_weeks#.YOcTs2hKhnI,10/5/2021,English,8 Jul 2021,-
MAL07,Malta,Important Notice - Vaccines available for all from 1 July 2021,-,Official Vaccine Policy,Ngo,https://www.unhcr.org/mt/wp-content/uploads/sites/54/2021/07/Vaccine-availability-English.pdf,Unknown,English,8 Jul 2021,-
MAL08,Malta,Watch: Malta's vaccine certificate unveiled,-,Official Vaccine Policy,Media,https://timesofmalta.com/articles/view/watch-prime-minister-health-minister-to-hold-press-conference.875911,31/5/2021,English,8 Jul 2021,-
IRE01,Ireland,COVID-19 Vaccination Strategy,-,Official Vaccine Policy,Official National Document,https://www.gov.ie/en/publication/bf337-covid-19-vaccination-strategy-and-implementation-plan/,11/12/2020,English,6 Oct 2021,Ireland official national vaccination strategy
IRE02,Ireland,COVID-19 Vaccine Implementation Plan,-,National Implementation Plan,Official National Document,https://www.gov.ie/en/publication/bf337-covid-19-vaccination-strategy-and-implementation-plan/,11/12/2020,English,6 Oct 2021,-
IRE04,Ireland,"Vaccination Programme, Dáil Éireann Debate, Wednesday - 20 January 2021",-,Official Vaccine Policy,Other Government Communication,https://www.oireachtas.ie/en/debates/question/2021-01-20/507/?highlight%5B0%5D=undocumented#pq-answers-507,20/01/2021,English,6 Oct 2021,"Written reply by Irish Minister for Health to Deputy Holly Cairns explicitly assuring that undocumented people can safely access the vaccine: ""The HSE does not report undocumented migrants to immigration authorities. It is important that undocumented migrants are encouraged and facilitated to take-up the Covid-19 vaccine."""
IRE06,Ireland,Minister for Health announces National COVID-19 Vaccination Strategy,-,Official Vaccine Policy,Official National Document,https://www.gov.ie/en/press-release/c89a9-minister-for-health-announces-national-covid-19-vaccination-strategy/,5/03/2021 - last updated,English,14 Jun 2021,Initial document for the vaccine plan
IRE07,Ireland,"The Mater Hospital, HSE and Safetynet open a Covid-19 Community Assessment Hub aimed at caring for those experiencing homelessness and others unable to access treatment",-,National Implementation Plan,Other Government Communication,https://www.primarycaresafetynet.ie/assessmenthub,08/05/2021,English,14 Jun 2021,Article explains the launch of a Covid-Assessment Hub. Vaccines for homeless and undocumented.
IRE08,Ireland,Would they report me to immigration?' - Undocumented workers fear over getting the vaccine,-,Official Vaccine Policy,Media,https://www.newstalk.com/news/would-they-report-me-to-immigration-undocumented-workers-fear-over-getting-the-vaccine-1192793,11/05/2021,English,14 Jun 2021,Article highlighting fears from undocumented workers receiving a vaccine
IRE09,Ireland,Getting your COVID-19 vaccine,-,Vaccine Registration Website,Other Government Communication,https://www2.hse.ie/screening-and-vaccinations/covid-19-vaccine/get-the-vaccine/getting-your-vaccine/,13/06/2021 - last updated,English,14 Jun 2021,Official website to register for a vaccine
IRE13,Ireland,Data Protection: COVID-19 Vaccine Information System,-,Official Vaccine Policy,Other Government Communication,https://www.hse.ie/eng/gdpr/data-protection-covid-19/data-protection-covid-19-vaccine-information-system.html,-,English,2 Jul 2021,Webpage showing the data protection regarding the Covid-19 vaccine.
IRE15,Ireland,EU Digital COVID Certificate (DCC),-,Official Vaccine Policy,Other Government Communication,https://www.citizensinformation.ie/en/travel_and_recreation/travel_abroad/digital_covid_certificate.html,-,English,5 Jul 2021,Digital Covid vaccine certificates and what they entail
UK03,United Kingdom,NHS entitlements: migrant health guide,-,Official Vaccine Policy,Official National Document,https://www.gov.uk/guidance/nhs-entitlements-migrant-health-guide,08/04/2021 - last updated,English,22 Jun 2021,Document providing guidance for practitioners on the health needs of migrants (including stating that personal data can only be shared with the Home Office in the interests of the individual's welfare).
