Country,T1,T2,T3,T11,T6,A1,Policy Transparency,T4,T5,A3,A11,A12,A13,Undocumented Access,T9,T10,Identification and Residency Requirements,T7,A18,A19,A21,A26,A27,Marginalized Access,T12,A5,A31,Privacy Guarantees,Total Score
Poland,1,1,-1,-2,1,-1,1,-2,-2,-2,-2,-2,-2,-14,1,1,2,-1,-1,1,-0.5,1,-1,-2,-1,-2,-1,-4,-17
United Kingdom,1,1,1,-1,1,-0.5,3.75,1,1,1,-0.5,1,1,5.5,1,1,2,1,1,1,1,1,1,5.5,1,1,-1,2,18.75
Portugal,1,1,-1,-2,1,-0.5,1.25,1,1,1,-0.5,1,-0.5,4,1,1,2,-0.5,-1,1,-0.5,1,1,0.5,1,1,-1,2,9.75
Italy,1,1,-1,-2,1,-1,1,1,-1,-1,-0.5,-0.5,-0.5,-2.5,-1,1,0,-1,1,-0.5,-0.5,1,-0.5,-1,-1,-2,-1,-4,-6.5
Spain,1,1,-1,-2,1,-1,1,1,-1,-1,-0.5,1,-1,-1.5,-1,-1,-2,1,1,-0.5,-0.5,1,-0.5,1,1,-1,1,1,-0.5
Ireland,1,1,-1,-2,-0.5,-5,-1.75,-1,1,-1,-0.5,1,-0.5,-1,1,1,2,-1,-1,1,1,1,1,1.5,1,1,-1,2,2.75
Slovakia,1,1,1,-1,-0.5,-5,0.75,-2,-1,-2,-2,-2,-2,-12.5,1,1,2,1,-1,-0.5,1,1,-0.5,0.5,1,-1,-1,0,-9.25
Netherlands,1,1,1,-1,-0.5,-5,0.75,1,-1,1,-2,1,-1,-1,1,1,2,1,1,1,1,1,1,5.5,1,-1,-1,0,7.25
France,1,1,-1,-2,1,-1,1,1,-1,-1,-0.5,-0.5,1,-1,1,-1,0,1,-0.5,1,1,1,1,4,1,-1,-1,0,4
Malta,1,1,-1,-2,-0.5,-5,-1.75,-1,-2,-1,-0.5,-0.5,-0.5,-7,1,-1,0,-0.5,1,-0.5,-0.5,1,-0.5,-0.5,1,1,-1,2,-7.25
Romania,1,1,1,-1,-0.5,-5,0.75,-1,-2,-1,-2,-0.5,-0.5,-8.5,-1,-1,-2,-0.5,1,1,-0.5,1,-0.5,1,1,-1,-1,0,-8.75
Germany,1,1,1,-1,-0.5,-5,0.75,-1,-1,-1,-0.5,-0.5,-0.5,-5.5,1,1,2,1,-1,1,-0.5,1,-0.5,0.5,1,-1,1,1,-1.25
Czech Republic,1,1,-1,-2,-0.5,-5,-1.75,-2,-1,-2,-2,-2,-2,-12.5,1,1,2,-1,-1,1,1,1,-0.5,0,-1,-2,1,-3,-15.25
Austria,1,1,-1,-2,1,-1,1,-1,-1,-1,-0.5,-0.5,-0.5,-5.5,1,1,2,1,-0.5,1,-0.5,1,1,2.5,-1,-2,-1,-4,-4
Denmark,1,1,-0.5,-2,-0.5,-5,-1.25,1,-1,1,-0.5,-0.5,-0.5,-0.5,1,-0.5,0.5,1,1,1,1,1,1,5.5,1,1,-1,2,6.25
Belgium,1,1,-1,-2,1,-1,1,-1,-1,-1,-0.5,-0.5,-0.5,-5.5,1,1,2,1,-0.5,1,-0.5,1,-0.5,1,-1,-2,-1,-4,-5.5
Greece,1,1,1,-1,-0.5,-5,0.75,-1,-1,-1,-0.5,-0.5,-0.5,-5.5,1,1,2,-0.5,1,-0.5,-0.5,1,-0.5,-0.5,1,1,1,3,-0.25
Estonia,1,1,1,-1,-0.5,-5,0.75,-1,-1,-1,-0.5,-0.5,-0.5,-5.5,1,-0.5,0.5,-1,-1,1,1,1,-0.5,0,-1,-2,-1,-4,-8.25
